ticker,data_analise,status,preco_analise,fair_value,upside,score_final,recomendacao,metodos_usados,perfil,pl_confiavel,dy_confiavel,confianca,riscos,data_futura,score,preco_futuro,retorno_real,acertou,motivo
PETR4,2024-01-15,OK,38.58000183105469,37.35,-3.2,57.0,NEUTRO,"Graham: R$57.44, Bazin: R$25.28, Gordon: R$29.32",RENDA/VALOR,True,True,90.0,['ALTA DIVERGENCIA 127% entre metodos - reduzir confianca'],2024-04-15,57.0,39.310001373291016,0.018921708335656956,True,
PETR4,2024-02-01,SEM_FUNDAMENTOS_HISTORICOS,41.56999969482422,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2024-03-01,SEM_FUNDAMENTOS_HISTORICOS,40.18000030517578,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2024-04-01,SEM_FUNDAMENTOS_HISTORICOS,37.650001525878906,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2024-05-02,SEM_FUNDAMENTOS_HISTORICOS,42.18000030517578,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2024-06-14,OK,34.68000030517578,31.56,-9.0,53.0,NEUTRO,"Graham: R$50.77, Bazin: R$20.33, Gordon: R$23.58",RENDA/VALOR,True,True,90.0,['ALTA DIVERGENCIA 150% entre metodos - reduzir confianca'],2024-09-12,53.0,36.869998931884766,0.06314874877270807,True,
PETR4,2024-07-01,SEM_FUNDAMENTOS_HISTORICOS,38.630001068115234,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2024-08-01,SEM_FUNDAMENTOS_HISTORICOS,36.84000015258789,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2024-09-02,SEM_FUNDAMENTOS_HISTORICOS,39.0,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2024-10-01,SEM_FUNDAMENTOS_HISTORICOS,36.970001220703125,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2024-11-01,SEM_FUNDAMENTOS_HISTORICOS,35.41999816894531,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2024-12-13,OK,38.099998474121094,33.86,-11.1,52.0,NEUTRO,"Graham: R$55.04, Bazin: R$21.55, Gordon: R$24.99",RENDA/VALOR,True,True,90.0,['ALTA DIVERGENCIA 155% entre metodos - reduzir confianca'],2025-03-13,52.0,34.439998626708984,-0.09606299196830978,True,
PETR4,2025-01-02,SEM_FUNDAMENTOS_HISTORICOS,36.77000045776367,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2025-02-03,SEM_FUNDAMENTOS_HISTORICOS,37.5,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2025-03-05,SEM_FUNDAMENTOS_HISTORICOS,34.619998931884766,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2025-04-01,SEM_FUNDAMENTOS_HISTORICOS,37.29999923706055,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2025-05-02,SEM_FUNDAMENTOS_HISTORICOS,30.809999465942383,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2025-06-13,OK,32.529998779296875,28.33,-12.9,50.0,NEUTRO,"Graham: R$46.69, Bazin: R$17.72, Gordon: R$20.56",RENDA/VALOR,True,True,90.0,['ALTA DIVERGENCIA 163% entre metodos - reduzir confianca'],2025-09-11,50.0,31.389999389648438,-0.03504455679149823,True,
PETR4,2025-07-01,SEM_FUNDAMENTOS_HISTORICOS,31.489999771118164,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2025-08-01,SEM_FUNDAMENTOS_HISTORICOS,32.209999084472656,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2025-09-01,SEM_FUNDAMENTOS_HISTORICOS,31.170000076293945,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2025-10-01,SEM_FUNDAMENTOS_HISTORICOS,31.3799991607666,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2025-11-03,SEM_FUNDAMENTOS_HISTORICOS,30.100000381469727,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2025-12-01,SEM_FUNDAMENTOS_HISTORICOS,31.850000381469727,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2026-01-02,SEM_FUNDAMENTOS_HISTORICOS,30.709999084472656,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2026-02-02,SEM_FUNDAMENTOS_HISTORICOS,37.2400016784668,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2026-03-02,SEM_FUNDAMENTOS_HISTORICOS,41.130001068115234,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2026-04-01,SEM_FUNDAMENTOS_HISTORICOS,47.369998931884766,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
PETR4,2026-05-04,OK,49.34000015258789,43.34,-12.2,51.0,NEUTRO,"Graham: R$71.51, Bazin: R$27.09, Gordon: R$31.42",RENDA/VALOR,True,True,90.0,['ALTA DIVERGENCIA 164% entre metodos - reduzir confianca'],2026-05-04,51.0,49.34000015258789,0.0,True,
ITUB4,2024-01-15,OK,29.52338981628418,17.66,-40.2,0.0,VENDA,"Graham: R$31.24, Bazin: R$4.07",RENDA/VALOR,True,True,90.0,['ALTA DIVERGENCIA 667% entre metodos - reduzir confianca'],2024-04-15,0.0,28.164165496826172,-0.04603889756278265,False,
ITUB4,2024-02-01,SEM_FUNDAMENTOS_HISTORICOS,28.852603912353516,,,,,,,,,,,,,,,,Forneca fundamentos point-in-time para evitar lookahead bias.
